שם,קטגוריה,תת קטגוריה
צרכנית חיבת ציון,אוכל,חיבצי
"קבוצת אדם עולם בע""מ",ילדים,אדם עולם
קואופ אורגני,אוכל,קואופ אורגני
קניונית,אוכל,קניונית
שבתאי כפר ויתקין 014,פנאי,מסעדות
שופרסל און ליין,אוכל,שופרסל
שופרסל דיל עמק חפר,אוכל,שופרסל
שטראוס מים בע מ  הסכ,בית,אחר
שיפודי אחמד סעיד,פנאי,מסעדות
שפירא אופטומטריסט בע,בריאות,אחר
שקוף עיתונות למען שמ,אחר,אחר
שרותי בריאות כללית,בריאות,כללית
תחנת אלון משמר השרון,רכב,דלק
כל בו טכני העמק בעמ,בית,טכני
פז YELLOW נורדיה,רכב,דלק
חנות מרפאות,בריאות,ילדים
חוות חניאל,ילדים,חוגים
חוות חניאל,ילדים,חוגים
כל בו טכני העמק בעמ,בית,טכני
"מד""א מרכז",בריאות,אחר
"מד""א מרכז",בריאות,אחר
חניון יכין אלכסנדרה,רכב,כבישים וחניות
מובילנד נתניה,פנאי,סרטים
מובילנד נתניה,פנאי,סרטים
"נ.ע גולדה נתניה בע""מ",פנאי,מסעדות
"נעה אורון בע""מ",אחר,אחר
חנות מפעל - טיב טעם,אוכל,שופרסל
עין רופין מסעדות בעמ,פנאי,מסעדות
המוסד לביטוח לאומי,בנק,בט”ל
מזרחי דמי כרטיס,בנק,עמלות
מפעל הפיס מנויים,אחר,פיס
מינימרקט אליכין,אוכל,אליכין
אלונית מגד הדרום,פנאי,חטיפים
דור אלון מגד הדרום,רכב,דלק
אלונית עמיעד,פנאי,חטיפים
דן חברה לתחבורה ציבו,חריגה,חריגה
גולדה משמר השרון,פנאי,מסעדות
נטוויז'ן-סלקום,תקשורת,אחר
EIG DOMAIN COM,עבודה,אחר
PAYPAL  MINECRAFT,ילדים,אחר
PAYPAL  OWL BEONEX,ילדים,אחר
SPOTIFY,פנאי,מדיה
המלבי של כלה,פנאי,מסעדות
דידה גלידה,פנאי,מסעדות
קונדטורית דקלבאום,פנאי,מסעדות
שווארמה דיוואן משמר,פנאי,מסעדות
דלתא מול החוף חדרה-ג,בית,ביגוד
"הודיס בע""מ-גמא",בית,ביגוד
מפעל הפיס מנויים,אחר,פיס
מכון רישוי חפר פרנק,רכב,ביטוח
תמי 4,בית,לבית
פנגו-חניון קרית הממש,רכב,חניה
נענע 1,פנאי,מסעדות
ארגון השומר החדש,ילדים,חוגים
חניון מנורה מבטחים,רכב,חניה
פז YELLOW הסי -,פנאי,מסעדות
ע.מ. חלפים בע'מ-צמרת,רכב,מוסך
KSP אקספרס-גמא,בית,לבית
מ.א.ע.ח ק.ח שחר מעיי,ילדים,חוגים
קניון חדרה,רכב,חניה
סופר פארם לב חדרה 85,בית,פארם
כנאפת אל בלד,פנאי,מסעדות
ALIEXPRESS COM,בית,אחר
AMZN MKTP US Y80364P,בית,אחר
דלתא פלוס שערי חדרה-,בית,ביגוד
מסעדת אנאמרו,פנאי,מסעדות
JAPANIKA-אם הדרך,פנאי,מסעדות
גוזף קצביה מזווה ביי,בית,אחר
אורבניקה - חדרה-גמא,בית,ביגוד
פז YELLOW חדרה -,רכב,דלק
"דן דיל הדקלים בע""מ",בית,אחר
OCHEN 2010,בית,אחר
מאפה לוליטה-צמרת,בית,אחר
זעירא זהר - פז כפר ה,רכב,דלק
עדי זהב תכשיטים,בית,אחר
אגמי פרדס חנה,אוכל,אחר
פוליצר פרדס חנה,אוכל,אחר
בירצה,פנאי,מסעדות
קינמון משמר השרון,בית,אחר
רוזמרין חקלאות ופיתו,בית,אחר
גודיז,פנאי,מסעדות
שווארמתי,פנאי,מסעדות
